Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-08T07:51:46.805Z,,,Included,auto,No,0,10330,77024,499,87853,Included
2026-07-08T07:50:38.633Z,,,Included,auto,No,0,99225,230560,3527,333312,Included
2026-07-07T11:50:07.907Z,,,Included,auto,No,0,2516,204384,622,207522,Included
2026-07-07T11:48:35.374Z,,,Included,auto,No,0,3863,184576,3746,192185,Included
2026-07-07T11:43:43.633Z,,,Included,auto,No,0,7058,110784,2022,119864,Included
2026-07-07T11:42:32.659Z,,,Included,auto,No,0,733,33472,1698,35903,Included
2026-07-07T11:41:40.545Z,,,Included,auto,No,0,1882,63264,1125,66271,Included
2026-07-07T11:40:50.083Z,,,Included,auto,No,0,263,30592,919,31774,Included
2026-07-07T11:40:02.438Z,,,Included,auto,No,0,21030,9536,180,30746,Included
2026-07-07T11:38:44.688Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-07T11:37:31.213Z,,,Included,auto,No,0,7489,141102,2420,151011,Included
2026-07-07T11:35:27.498Z,,,Included,auto,No,0,32978,75064,2151,110193,Included
2026-07-07T09:58:28.125Z,,,Included,auto,No,0,46567,443520,2888,492975,Included
2026-07-07T09:42:04.396Z,,,Included,auto,No,0,2255,216800,485,219540,Included
2026-07-07T09:39:23.615Z,,,Included,auto,No,0,2650,206880,1205,210735,Included
2026-07-07T09:36:24.487Z,,,Included,auto,No,0,3832,292864,1495,298191,Included
2026-07-07T09:35:35.553Z,,,Included,auto,No,0,5840,173248,4036,183124,Included
2026-07-07T09:26:26.841Z,,,Included,auto,No,0,559,81440,480,82479,Included
2026-07-07T09:26:02.556Z,,,Included,auto,No,0,2535,76448,724,79707,Included
2026-07-07T09:23:04.397Z,,,Included,auto,No,0,11037,153408,4419,168864,Included
2026-07-07T09:17:36.667Z,,,Included,auto,No,0,17740,126912,2230,146882,Included
2026-07-07T09:16:44.175Z,,,Included,auto,No,0,6021,288916,3063,298000,Included
2026-07-07T09:14:27.872Z,,,Included,auto,No,0,7683,355210,3524,366417,Included
2026-07-07T09:09:02.285Z,,,Included,auto,No,0,14989,449099,6534,470622,Included
2026-07-07T09:07:05.028Z,,,Included,auto,No,0,2359,93713,442,96514,Included
2026-07-07T09:06:30.192Z,,,Included,auto,No,0,20387,106119,1539,128045,Included
2026-07-07T08:45:30.339Z,,,Included,auto,No,0,70231,222240,3013,295484,Included
2026-07-07T08:40:02.656Z,,,Included,auto,No,0,81808,276788,528,359124,Included
2026-07-07T08:25:21.934Z,,,Included,auto,No,0,12397,29054,521,41972,Included
2026-07-07T08:21:04.061Z,,,Included,auto,No,0,1594,250341,973,252908,Included
2026-07-07T08:20:40.501Z,,,Included,auto,No,0,869,166256,503,167628,Included
2026-07-07T08:19:19.550Z,,,Included,auto,No,0,2585,325725,1400,329710,Included
2026-07-07T08:17:34.468Z,,,Included,auto,No,0,4668,388229,2731,395628,Included
2026-07-07T08:15:56.718Z,,,Included,auto,No,0,6755,503662,2942,513359,Included
2026-07-07T08:15:19.791Z,,,Included,auto,No,0,3472,207390,440,211302,Included
2026-07-07T08:13:09.681Z,,,Included,auto,No,0,65650,200020,3302,268972,Included
2026-07-07T08:11:18.557Z,,,Included,auto,No,0,12268,335679,4407,352354,Included
2026-07-07T08:06:56.394Z,,,Included,auto,No,0,4227,190126,1481,195834,Included
2026-07-07T08:03:41.916Z,,,Included,auto,No,0,1550,224632,645,226827,Included
2026-07-07T08:00:52.248Z,,,Included,auto,No,0,36496,258088,9361,303945,Included
2026-07-06T20:59:23.794Z,,,Included,composer-2.5-fast,No,0,21173,59794,386,81353,Included
2026-07-06T20:53:15.595Z,,,Included,composer-2.5-fast,No,0,2310,116384,1598,120292,Included
2026-07-06T20:51:52.726Z,,,Included,composer-2.5-fast,No,0,15326,49920,321,65567,Included
2026-07-06T20:51:33.774Z,,,"Errored, No Charge",composer-2.5-fast,No,,,,,,Free
2026-07-06T20:51:15.002Z,,,Included,composer-2.5-fast,No,0,14647,6880,245,21772,Included
2026-07-06T20:50:47.372Z,,,Included,composer-2.5-fast,No,0,11213,9216,296,20725,Included
2026-07-06T20:50:35.955Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T20:50:29.370Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T20:50:27.058Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T20:47:53.867Z,,,Included,auto,No,0,11070,27941,460,39471,Included
2026-07-06T20:46:33.129Z,,,Included,auto,No,0,19938,155634,375,175947,Included
2026-07-06T20:41:09.178Z,,,Included,auto,No,0,45708,245393,4123,295224,Included
2026-07-06T20:40:06.300Z,,,Included,auto,No,0,30084,126464,836,157384,Included
2026-07-06T20:39:57.050Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T20:39:19.768Z,,,Included,auto,No,0,5684,109484,446,115614,Included
2026-07-06T20:36:36.522Z,,,Included,auto,No,0,39242,83936,433,123611,Included
2026-07-06T20:36:30.624Z,,,Included,auto,No,0,25023,263321,5032,293376,Included
2026-07-06T20:33:52.207Z,,,Included,auto,No,0,75776,208864,5872,290512,Included
2026-07-06T20:31:58.979Z,,,Included,auto,No,0,5086,136557,422,142065,Included
2026-07-06T20:30:23.428Z,,,Included,auto,No,0,37065,190057,4671,231793,Included
2026-07-06T20:27:55.241Z,,,Included,auto,No,0,22276,83509,1243,107028,Included
2026-07-06T20:24:58.693Z,,,Included,auto,No,0,26438,108096,529,135063,Included
2026-07-06T20:23:56.427Z,,,Included,auto,No,0,24908,291674,3220,319802,Included
2026-07-06T20:21:32.996Z,,,Included,auto,No,0,92426,637188,2495,732109,Included
2026-07-06T20:17:52.626Z,,,Included,auto,No,0,1585,277056,1046,279687,Included
2026-07-06T20:17:09.292Z,,,Included,auto,No,0,14116,531104,1092,546312,Included
2026-07-06T20:14:09.360Z,,,Included,auto,No,0,5879,254752,416,261047,Included
2026-07-06T20:11:28.549Z,,,Included,auto,No,0,62898,1208960,7090,1278948,Included
2026-07-06T20:10:37.132Z,,,Included,auto,No,0,497,68544,364,69405,Included
2026-07-06T20:10:00.436Z,,,Included,auto,No,0,7469,123168,868,131505,Included
2026-07-06T20:07:39.119Z,,,Included,auto,No,0,3099,119296,133,122528,Included
2026-07-06T20:07:26.783Z,,,Included,auto,No,0,532,59776,121,60429,Included
2026-07-06T20:07:16.170Z,,,Included,auto,No,0,4333,115200,411,119944,Included
2026-07-06T20:06:06.560Z,,,Included,auto,No,0,12014,163936,566,176516,Included
2026-07-06T20:05:56.569Z,,,Included,auto,No,0,959,56576,166,57701,Included
2026-07-06T20:05:47.598Z,,,Included,auto,No,0,4279,108320,1078,113677,Included
2026-07-06T20:05:42.815Z,,,Included,auto,No,0,1519,54080,69,55668,Included
2026-07-06T20:05:22.863Z,,,Included,auto,No,0,4396,84896,976,90268,Included
2026-07-06T20:04:54.186Z,,,Included,auto,No,0,8007,123456,2993,134456,Included
2026-07-06T20:04:31.652Z,,,Included,auto,No,0,2297,52736,404,55437,Included
2026-07-06T20:03:58.538Z,,,Included,auto,No,0,4050,156448,792,161290,Included
2026-07-06T20:02:49.644Z,,,Included,auto,No,0,51498,98496,2046,152040,Included
2026-07-06T20:02:18.151Z,,,Included,auto,No,0,875,51808,76,52759,Included
2026-07-06T20:02:06.568Z,,,Included,auto,No,0,591,51552,303,52446,Included
2026-07-06T19:59:07.982Z,,,Included,auto,No,0,14003,89280,153,103436,Included
2026-07-06T19:58:07.213Z,,,Included,auto,No,0,27132,407168,2462,436762,Included
2026-07-06T19:55:01.613Z,,,Included,auto,No,0,40262,133568,1087,174917,Included
2026-07-06T19:54:53.985Z,,,Included,auto,No,0,610,39808,323,40741,Included
2026-07-06T19:53:54.777Z,,,Included,auto,No,0,6879,109600,533,117012,Included
2026-07-06T19:52:45.529Z,,,Included,auto,No,0,6982,137216,824,145022,Included
2026-07-06T19:49:25.440Z,,,Included,auto,No,0,39614,187104,1338,228056,Included
2026-07-06T19:48:57.401Z,,,Included,auto,No,0,1470,57312,1392,60174,Included
